accuracy,avg_rating,checkin,cleanliness,communication,currency,guest_satisfication,host_reviews,location,monthly_price_factor,picture_count,price,response_rate,reviews_count,url,value,weekly_price_factor,listing_key
9,4.64,10,9,10,CAD,93,61,9,0.9,9,26,50,42,https://www.airbnb.com/rooms/20605757,9,0.95,20605757
10,5.0,10,10,10,CAD,100,16,9,0.9,11,24,100,14,https://www.airbnb.com/rooms/27612053,10,0.95,27612053
9,4.0,10,9,10,CAD,80,7,10,0.51,9,26,100,7,https://www.airbnb.com/rooms/27197707,8,0.79,27197707
10,5.0,10,10,10,CAD,100,4,10,0.85,16,28,100,2,https://www.airbnb.com/rooms/35518285,10,0.9,35518285
10,5.0,10,10,10,CAD,100,88,10,1.0,24,24,100,33,https://www.airbnb.com/rooms/28617563,10,1.0,28617563
9,4.75,10,10,10,CAD,95,46,10,0.9,14,24,100,12,https://www.airbnb.com/rooms/32017225,10,1.0,32017225
9,4.33,8,9,9,CAD,87,28,9,0.9,17,26,100,18,https://www.airbnb.com/rooms/27990738,9,0.9,27990738
10,4.69,10,9,10,CAD,94,78,10,0.9,25,24,91,36,https://www.airbnb.com/rooms/20285150,9,1.0,20285150
10,4.9,10,10,10,CAD,98,20,9,0.8,12,24,100,20,https://www.airbnb.com/rooms/28028476,10,1.0,28028476
9,4.2,9,8,9,CAD,84,11,8,0.9,34,21,90,10,https://www.airbnb.com/rooms/25052793,9,0.9,25052793
10,4.79,10,10,10,CAD,96,90,9,0.95,22,22,100,56,https://www.airbnb.com/rooms/17184878,10,0.98,17184878
10,4.58,10,9,10,CAD,92,142,10,0.54,9,25,100,104,https://www.airbnb.com/rooms/5958858,10,0.85,5958858
10,4.9,10,10,10,CAD,98,271,9,0.85,15,21,100,42,https://www.airbnb.com/rooms/15819074,10,1.0,15819074
10,4.94,10,10,10,CAD,99,1333,10,0.95,23,25,100,32,https://www.airbnb.com/rooms/30552364,10,1.0,30552364
10,5.0,10,10,10,CAD,100,5,10,0.68,13,26,93,2,https://www.airbnb.com/rooms/33974546,10,0.88,33974546
10,4.92,10,10,10,CAD,98,21,10,0.85,8,22,0,14,https://www.airbnb.com/rooms/22902859,10,0.9,22902859
10,4.85,10,10,10,CAD,97,132,10,0.8,23,22,100,46,https://www.airbnb.com/rooms/13927495,10,0.9,13927495
0,0.0,0,0,0,CAD,0,0,0,0.55,18,22,100,0,https://www.airbnb.com/rooms/35972942,0,0.8,35972942
9,4.0,8,9,9,CAD,80,379,8,0.65,15,22,100,6,https://www.airbnb.com/rooms/29493671,8,0.9,29493671
10,4.71,10,10,10,CAD,94,74,9,1.0,8,21,100,50,https://www.airbnb.com/rooms/18008057,10,0.9,18008057
9,4.82,9,10,10,CAD,96,11,10,0.7000000000000001,13,24,100,11,https://www.airbnb.com/rooms/32237349,9,0.9,32237349
10,4.8100000000000005,9,10,10,CAD,96,43,9,1.0,20,24,0,32,https://www.airbnb.com/rooms/28940815,10,1.0,28940815
10,5.0,9,9,9,CAD,100,20,10,0.75,6,25,100,3,https://www.airbnb.com/rooms/35565048,10,0.9,35565048
9,4.39,9,9,9,CAD,88,379,9,0.7000000000000001,21,32,100,18,https://www.airbnb.com/rooms/24760674,9,0.9,24760674
10,4.5600000000000005,10,10,10,CAD,91,26,10,0.8200000000000001,19,24,75,18,https://www.airbnb.com/rooms/23328219,10,0.9,23328219
10,5.0,10,10,10,CAD,100,9,9,0.7000000000000001,14,29,100,6,https://www.airbnb.com/rooms/33364482,10,0.8,33364482
10,4.8100000000000005,10,10,10,CAD,96,132,10,0.8,25,29,100,43,https://www.airbnb.com/rooms/9014388,10,0.9,9014388
0,0.0,0,0,0,CAD,0,3,0,1.0,10,24,93,0,https://www.airbnb.com/rooms/35421750,0,1.0,35421750
10,4.95,10,10,10,CAD,99,61,10,0.75,11,28,100,20,https://www.airbnb.com/rooms/22002557,10,0.93,22002557
9,4.57,9,10,10,CAD,91,36,9,0.8,18,30,100,14,https://www.airbnb.com/rooms/23044534,9,0.85,23044534
10,4.92,10,10,10,CAD,98,14,10,0.8,7,26,80,12,https://www.airbnb.com/rooms/18426024,10,0.9,18426024
10,4.58,10,9,10,CAD,92,95,10,0.8,24,25,100,24,https://www.airbnb.com/rooms/18124741,10,0.9,18124741
10,5.0,10,10,10,CAD,100,5,10,0.68,24,26,0,3,https://www.airbnb.com/rooms/30075094,10,0.9,30075094
10,4.8100000000000005,10,10,9,CAD,96,21,10,0.85,20,30,100,21,https://www.airbnb.com/rooms/13771020,9,1.0,13771020
9,4.33,10,10,10,CAD,87,8,10,0.85,12,24,100,6,https://www.airbnb.com/rooms/34063784,10,0.9,34063784
10,5.0,10,10,10,CAD,100,61,9,1.0,21,24,100,21,https://www.airbnb.com/rooms/22083962,10,1.0,22083962
9,4.91,10,10,10,CAD,98,377,9,0.9,64,28,100,11,https://www.airbnb.com/rooms/24555627,9,0.95,24555627
9,4.6,10,9,10,CAD,92,87,10,1.0,9,25,100,5,https://www.airbnb.com/rooms/34092041,10,1.0,34092041
10,4.96,10,10,10,CAD,99,35,10,1.0,12,21,100,25,https://www.airbnb.com/rooms/28960172,10,1.0,28960172
10,4.97,10,10,10,CAD,99,63,10,0.91,27,30,100,63,https://www.airbnb.com/rooms/21893963,10,0.96,21893963
10,5.0,10,10,10,CAD,100,2,10,0.85,18,22,90,2,https://www.airbnb.com/rooms/33228798,10,0.9,33228798
10,4.96,10,10,10,CAD,99,27,10,0.8,10,24,100,26,https://www.airbnb.com/rooms/24912655,10,0.9,24912655
10,4.85,10,10,10,CAD,97,33,10,0.9,16,30,100,33,https://www.airbnb.com/rooms/27340651,10,0.95,27340651
10,4.73,10,10,10,CAD,95,13,10,0.9,9,30,100,11,https://www.airbnb.com/rooms/31661830,10,0.95,31661830
9,4.73,9,9,9,CAD,95,132,9,1.0,16,25,100,11,https://www.airbnb.com/rooms/32448037,9,1.0,32448037
9,4.45,9,10,10,CAD,89,34,8,0.8,12,28,100,20,https://www.airbnb.com/rooms/23543878,9,0.95,23543878
10,4.65,10,10,10,CAD,93,189,9,0.72,31,22,93,46,https://www.airbnb.com/rooms/15282518,10,0.9,15282518
10,4.9,10,10,10,CAD,98,82,9,0.7000000000000001,9,29,100,49,https://www.airbnb.com/rooms/20213490,10,0.89,20213490
10,4.18,9,8,9,CAD,84,236,9,0.95,44,25,100,44,https://www.airbnb.com/rooms/18181878,9,0.95,18181878
10,4.64,10,9,10,CAD,93,36,10,0.53,12,29,100,14,https://www.airbnb.com/rooms/30287667,9,0.65,30287667
9,4.64,10,10,10,CAD,93,189,9,0.7000000000000001,28,22,93,14,https://www.airbnb.com/rooms/19943378,9,0.89,19943378
9,4.78,10,10,10,CAD,96,46,9,1.0,25,22,0,36,https://www.airbnb.com/rooms/16604487,9,1.0,16604487
10,5.0,10,10,10,CAD,100,3,9,1.0,18,22,100,3,https://www.airbnb.com/rooms/32841627,10,1.0,32841627
9,4.49,9,9,10,CAD,90,41,9,1.0,12,24,100,41,https://www.airbnb.com/rooms/24149904,9,1.0,24149904
10,4.95,10,10,10,CAD,99,33,10,0.7000000000000001,15,30,100,21,https://www.airbnb.com/rooms/16643266,10,0.89,16643266
9,4.75,9,9,10,CAD,95,179,9,0.7000000000000001,64,24,97,16,https://www.airbnb.com/rooms/22602634,9,0.8,22602634
9,4.57,10,10,10,CAD,91,50,9,0.87,18,29,100,7,https://www.airbnb.com/rooms/32164824,10,0.95,32164824
10,4.78,9,9,10,CAD,96,32,10,0.9,5,28,80,9,https://www.airbnb.com/rooms/22495268,10,0.9,22495268
10,4.72,10,10,10,CAD,94,84,9,1.0,27,21,100,32,https://www.airbnb.com/rooms/22399858,10,1.0,22399858
10,4.55,10,9,9,CAD,91,43,10,0.8,8,22,100,20,https://www.airbnb.com/rooms/18612030,9,0.9,18612030
10,4.73,10,10,9,CAD,95,20,10,1.0,18,28,100,16,https://www.airbnb.com/rooms/25294024,10,1.0,25294024
8,3.5,8,7,8,CAD,70,19,9,0.6000000000000001,9,30,0,5,https://www.airbnb.com/rooms/18312046,7,0.8,18312046
9,4.74,9,9,9,CAD,95,33,9,0.75,15,32,100,31,https://www.airbnb.com/rooms/25073476,10,0.85,25073476
10,4.62,10,9,10,CAD,92,19,10,0.85,16,24,100,13,https://www.airbnb.com/rooms/32739567,9,0.9,32739567
10,5.0,10,10,10,CAD,100,9,9,0.71,9,24,100,9,https://www.airbnb.com/rooms/25428160,10,0.89,25428160
9,4.78,10,10,10,CAD,96,82,9,0.71,10,29,100,27,https://www.airbnb.com/rooms/19195624,10,0.9,19195624
9,4.46,9,9,9,CAD,89,118,8,0.8,18,21,100,46,https://www.airbnb.com/rooms/22360877,9,0.9,22360877
10,5.0,10,10,10,CAD,100,90,10,0.6000000000000001,32,22,100,38,https://www.airbnb.com/rooms/18039601,10,0.9,18039601
0,0.0,0,0,0,CAD,0,20,0,0.75,6,26,100,0,https://www.airbnb.com/rooms/35516054,0,0.9,35516054
10,4.88,10,9,10,CAD,98,397,10,0.85,9,29,100,17,https://www.airbnb.com/rooms/31046115,10,0.9,31046115
10,4.47,10,9,10,CAD,89,57,9,0.85,16,32,100,37,https://www.airbnb.com/rooms/19080641,9,1.0,19080641
10,4.77,10,10,9,CAD,95,156,9,0.9,6,21,100,56,https://www.airbnb.com/rooms/18736543,10,0.9,18736543
10,4.75,10,10,10,CAD,95,23,9,1.0,6,21,100,8,https://www.airbnb.com/rooms/31264238,10,0.75,31264238
10,4.77,10,10,10,CAD,95,537,10,1.0,25,22,100,61,https://www.airbnb.com/rooms/12847061,9,0.89,12847061
10,4.86,10,9,10,CAD,97,208,10,0.88,20,24,100,14,https://www.airbnb.com/rooms/29823345,10,0.93,29823345
10,4.58,9,9,9,CAD,92,100,9,1.0,12,24,95,19,https://www.airbnb.com/rooms/26533933,9,1.0,26533933
8,4.0,9,9,9,CAD,80,41,10,1.0,6,21,100,4,https://www.airbnb.com/rooms/26432518,8,1.0,26432518
9,4.57,10,9,10,CAD,91,115,9,0.91,11,25,93,29,https://www.airbnb.com/rooms/23360141,9,0.95,23360141
10,4.74,10,9,10,CAD,95,35,9,1.0,18,21,100,19,https://www.airbnb.com/rooms/21484660,9,1.0,21484660
10,4.6,10,10,10,CAD,92,6,9,0.8,18,29,100,5,https://www.airbnb.com/rooms/32523385,10,0.9,32523385
0,0.0,0,0,0,CAD,0,7,0,0.51,4,26,100,0,https://www.airbnb.com/rooms/35976040,0,0.79,35976040
10,5.0,10,10,10,CAD,100,6,10,1.0,6,22,0,6,https://www.airbnb.com/rooms/25185112,10,1.0,25185112
10,5.0,10,10,10,CAD,100,6,10,0.7000000000000001,11,28,0,2,https://www.airbnb.com/rooms/26851189,10,0.9,26851189
0,0.0,0,0,0,CAD,0,20,0,0.75,6,26,100,0,https://www.airbnb.com/rooms/35516601,0,0.9,35516601
10,4.71,9,9,10,CAD,94,53,9,0.7000000000000001,21,24,50,29,https://www.airbnb.com/rooms/17974243,10,0.95,17974243
10,4.92,10,9,10,CAD,98,206,10,0.75,29,26,100,12,https://www.airbnb.com/rooms/30701886,10,0.95,30701886
10,4.93,10,10,10,CAD,99,18,10,1.0,6,24,100,14,https://www.airbnb.com/rooms/24825808,10,1.0,24825808
10,5.0,10,10,10,CAD,100,258,10,0.9,7,26,100,3,https://www.airbnb.com/rooms/34629864,9,0.93,34629864
9,4.7,9,9,9,CAD,94,79,10,1.0,13,21,100,27,https://www.airbnb.com/rooms/16381397,9,1.0,16381397
10,4.89,10,10,10,CAD,98,43,9,0.9,12,26,100,9,https://www.airbnb.com/rooms/29592005,9,1.0,29592005
0,0.0,0,0,0,CAD,0,1,0,0.85,26,30,0,0,https://www.airbnb.com/rooms/27523332,0,0.9,27523332
10,4.91,10,10,10,CAD,98,74,9,0.95,24,30,100,65,https://www.airbnb.com/rooms/4387161,10,0.97,4387161
10,5.0,10,10,10,CAD,100,3,10,1.0,13,28,0,3,https://www.airbnb.com/rooms/18390571,10,1.0,18390571
10,4.8,10,10,10,CAD,96,1337,10,1.0,37,26,100,45,https://www.airbnb.com/rooms/11581060,10,1.0,11581060
0,0.0,0,0,0,CAD,0,0,0,1.0,13,24,38,0,https://www.airbnb.com/rooms/35680565,0,1.0,35680565
10,4.63,10,9,10,CAD,93,27,10,0.84,20,28,100,27,https://www.airbnb.com/rooms/29134451,10,0.92,29134451
10,4.86,10,10,10,CAD,97,29,10,1.0,5,21,100,28,https://www.airbnb.com/rooms/16692987,10,0.85,16692987
0,0.0,0,0,0,CAD,0,0,0,1.0,3,24,0,0,https://www.airbnb.com/rooms/27696725,0,1.0,27696725
