guest_satisfication,host_reviews,monthly_price_factor,picture_count,price,response_rate,reviews_count,weekly_price_factor,listing_key
98,222,0.9,53,40,100,176,0.95,17449329
97,352,1.0,15,37,98,100,1.0,10490348
99,70,0.8,24,33,90,70,0.9,24099847
97,302,1.0,44,36,100,139,1.0,16832576
95,65,0.84,18,33,100,60,0.88,13298369
93,1376,0.9,14,33,100,151,1.0,14238109
97,100,0.92,41,36,90,71,0.95,12210430
95,2203,1.0,22,34,100,188,1.0,7882638
94,407,1.0,36,40,100,19,1.0,32898917
90,208,0.75,20,38,100,147,0.9,7528535
97,853,1.0,54,33,100,101,1.0,20711310
99,604,1.0,31,36,100,130,1.0,20949329
88,137,0.8,22,40,100,71,0.9,5285177
93,85,0.7000000000000001,9,34,90,79,0.91,5724050
94,80,0.85,7,41,94,7,0.9,34202503
100,853,1.0,31,33,100,9,1.0,34230214
95,1333,0.85,16,38,100,71,0.9,20831060
94,59,0.9,26,38,94,52,1.0,23580232
97,332,0.9,22,40,100,90,0.95,12489009
99,201,0.9,61,40,98,16,1.0,26500492
97,5,1.0,11,34,0,35,1.0,29060059
96,52,0.8,9,36,100,48,0.93,24599399
96,407,1.0,36,40,100,16,1.0,33108539
92,73,0.7000000000000001,20,34,100,73,0.88,15963588
99,143,1.0,14,36,100,40,1.0,29588183
95,2203,1.0,17,34,100,201,1.0,17509598
95,92,0.72,17,40,60,82,0.9,21876485
97,76,1.0,28,38,100,19,1.0,30061027
98,1333,0.85,20,40,100,66,0.9,17957091
93,2203,1.0,20,34,100,164,1.0,15114430
94,100,0.51,8,34,95,16,0.79,30676448
90,132,0.75,9,34,100,129,1.0,20250447
96,132,0.9,19,40,100,98,1.0,21847441
99,45,1.0,15,34,100,43,1.0,22293167
99,123,1.0,18,38,100,120,1.0,15957878
99,75,0.9,18,38,100,63,0.9,3726922
94,127,1.0,34,38,100,18,0.8,31921466
100,39,1.0,10,33,100,33,1.0,25675125
96,60,0.75,17,34,100,60,0.9,21355893
93,85,1.0,9,36,100,21,1.0,32114927
98,415,0.9,23,41,100,123,0.95,12948192
94,2203,1.0,17,34,100,227,1.0,13733212
100,343,1.0,8,34,100,20,1.0,23121571
97,35,0.75,27,38,100,35,0.85,23123628
100,70,0.9,22,33,100,7,0.95,22020204
93,335,0.8,24,40,100,98,0.9,407108
98,201,0.9,61,40,98,19,1.0,29822192
94,103,1.0,39,40,100,53,1.0,764051
93,61,0.76,27,40,100,49,0.89,20780930
93,61,0.72,10,36,100,60,1.0,26082604
98,24,0.7000000000000001,17,41,100,24,0.93,20408162
96,2203,1.0,16,34,100,10,1.0,33553202
96,295,0.76,15,38,100,135,0.88,15815860
99,129,0.84,20,38,100,18,0.89,30813616
97,397,0.85,25,40,100,15,0.9,31127149
94,0,0.75,17,34,0,21,0.9,34289695
96,59,1.0,8,41,100,56,1.0,16822031
97,70,0.75,18,41,0,26,0.88,22600988
93,78,0.8300000000000001,14,40,100,65,0.88,15453925
97,95,0.8,19,40,93,75,0.92,18856079
100,853,1.0,30,34,100,5,1.0,34569608
97,794,0.9,10,33,100,6,0.9,33491382
99,19,1.0,13,41,100,18,0.9,29162969
95,407,1.0,37,37,100,8,1.0,32992177
92,1337,0.9,25,40,100,64,1.0,21684763
99,17,1.0,17,36,100,14,1.0,27776441
96,79,0.9,51,38,100,55,0.95,22634817
93,307,1.0,32,40,100,60,1.0,21897678
92,220,0.9,20,40,100,24,0.9,24413598
94,128,0.85,26,33,100,28,0.9,2514320
86,57,1.0,11,33,100,15,1.0,16142689
94,77,0.9,70,38,100,73,1.0,13698243
100,54,0.8300000000000001,25,41,100,49,0.92,23724815
97,36,0.75,33,38,100,27,0.9,30819604
95,58,0.8,8,34,100,33,0.9,21007052
99,33,1.0,19,36,100,16,1.0,23358291
97,62,0.8,23,38,100,62,0.93,25998757
96,53,0.9,20,33,100,24,0.9,21861406
95,407,1.0,32,40,100,19,1.0,32899910
99,144,1.0,16,33,100,113,1.0,21249604
98,65,1.0,35,38,100,36,0.9,17545319
96,156,0.9,48,34,100,55,0.95,2298640
97,21,0.71,24,33,100,21,0.89,21739919
86,200,0.85,35,33,100,20,1.0,31361504
98,57,1.0,14,34,100,38,1.0,30270540
98,853,1.0,32,33,100,8,1.0,33854884
95,21,0.75,9,34,89,21,0.79,23208017
99,24,1.0,37,36,100,24,1.0,27258893
100,407,1.0,28,40,100,18,1.0,31623763
89,129,1.0,25,41,100,47,1.0,28223116
91,58,0.85,20,38,100,58,0.9,17142469
97,60,0.8,22,38,100,48,0.9,22920237
85,473,0.9,7,33,97,20,0.95,27735617
99,31,1.0,54,33,100,31,1.0,29634117
